gene set 	NMI	AUC	AUC.pval	t.stat	t.pval
GRADE_COLON_AND_RECTAL_CANCER_UP	0.009271	0.5487	0.2457	0.6247	0.109
DAZARD_RESPONSE_TO_UV_NHEK_DN	0.008929	0.5099	0.4461	0.02323	0.08166
KYNG_DNA_DAMAGE_DN	0.008733	0.5388	0.292	0.5762	0.006514
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.008251	0.5113	0.4381	0.1931	0.2304
MANALO_HYPOXIA_DN	0.008205	0.5374	0.299	0.7258	0.01841
MARTINEZ_RESPONSE_TO_TRABECTEDIN_DN	0.007937	0.5614	0.1925	1.002	0.001539
BLALOCK_ALZHEIMERS_DISEASE_UP	0.007716	-0.5014	0.49	0.1257	0.03731
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	0.00751	0.5346	0.3131	0.7379	0.2535
NUYTTEN_EZH2_TARGETS_DN	0.006882	0.5621	0.1897	0.9366	0.3219
YAGI_AML_WITH_11Q23_REARRANGED	0.006726	0.5523	0.2302	0.7887	0.003734
BLUM_RESPONSE_TO_SALIRASIB_DN	0.006579	0.5304	0.3347	0.2534	0.259
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS	0.006164	0.5212	0.3835	0.4134	0.003046
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	0.006157	0.5346	0.3131	0.4921	0.1047
KEGG_PARKINSONS_DISEASE	0.006148	0.5177	0.4028	0.3458	0.01261
KRIEG_HYPOXIA_NOT_VIA_KDM3A	0.005944	0.5403	0.2852	0.6173	0.0007541
LU_AGING_BRAIN_DN	0.005756	0.5424	0.275	0.6538	0.0001407
REACTOME_NEUTROPHIL_DEGRANULATION	0.004894	0.5381	0.2955	0.4261	0.4241
WP_MALIGNANT_PLEURAL_MESOTHELIOMA	0.00472	0.5417	0.2784	0.6512	5.132e-05
REACTOME_MEMBRANE_TRAFFICKING	0.004701	0.5078	0.458	0.1825	0.01294
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	0.004477	0.5191	0.3951	0.2319	0.2287
ZHOU_INFLAMMATORY_RESPONSE_LPS_UP	0.003452	0.5381	0.2955	0.6521	0.3186
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR	0.003246	0.5127	0.4302	0.2465	0.4745
MARTINEZ_TP53_TARGETS_UP	0.003232	0.5141	0.4224	0.1782	0.0003713
LEE_BMP2_TARGETS_UP	0.003138	0.5113	0.4381	0.1615	0.0007025
WANG_LMO4_TARGETS_DN	-0.001883	-0.5007	0.494	-0.1861	0.06317
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	-0.002059	-0.5056	0.466	-0.1542	0.1406
KEGG_HUNTINGTONS_DISEASE	-0.002958	-0.529	0.3384	-0.4131	1.25e-05
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	-0.00296	-0.5473	0.2489	-0.7363	0.3712
FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	-0.003979	-0.5332	0.3166	-0.5652	6.463e-05
IVANOVA_HEMATOPOIESIS_INTERMEDIATE_PROGENITOR	-0.004068	-0.5078	0.454	-0.1485	0.09225
GRUETZMANN_PANCREATIC_CANCER_UP	-0.005143	-0.5353	0.306	-0.4168	0.4929
REACTOME_TBC_RABGAPS	-0.006085	-0.5431	0.2684	-0.581	4.318e-05
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	-0.007745	-0.553	0.2241	-0.7105	0.03064
MARSON_BOUND_BY_E2F4_UNSTIMULATED	-0.007766	-0.5501	0.2363	-0.7707	0.4638
REACTOME_RAB_REGULATION_OF_TRAFFICKING	-0.009196	-0.5205	0.3835	-0.2077	0.4287
WP_INSULIN_SIGNALING	-0.009244	-0.5078	0.454	-0.002471	0.001258
DITTMER_PTHLH_TARGETS_UP	-0.00949	-0.56	0.1952	-1.135	8.108e-07
MOOTHA_PGC	-0.009676	-0.5445	0.2618	-0.7712	0.4645
REACTOME_INFECTIOUS_DISEASE	-0.01011	-0.5304	0.3311	-0.3231	0.09186
PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_DN	-0.01022	-0.5452	0.2585	-0.4761	0.06139
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN	-0.01059	-0.5275	0.3458	-0.3824	0.0659
FORTSCHEGGER_PHF8_TARGETS_DN	-0.011	-0.5586	0.2008	-0.8585	4.359e-06
REACTOME_VESICLE_MEDIATED_TRANSPORT	-0.01134	-0.5445	0.2618	-0.5094	0.0575
JIANG_VHL_TARGETS	-0.01154	-0.5367	0.299	-0.3843	3.027e-05
MILI_PSEUDOPODIA_HAPTOTAXIS_UP	-0.01161	-0.5911	0.09667	-1.378	0.08146
REACTOME_INNATE_IMMUNE_SYSTEM	-0.01202	-0.5367	0.299	-0.5138	0.0005847
WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_8D	-0.01225	-0.5749	0.1424	-0.932	0.0002234
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	-0.0141	-0.5501	0.2363	-0.7418	3.696e-05
PUJANA_ATM_PCC_NETWORK	-0.01427	-0.5862	0.1093	-1.096	0.07864
ZHENG_BOUND_BY_FOXP3	-0.01527	-0.5925	0.09328	-1.222	0.2021
MUELLER_PLURINET	-0.01546	-0.5671	0.1687	-0.7466	0.001586
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	-0.0162	-0.5607	0.1925	-0.4875	0.003265
JOHNSTONE_PARVB_TARGETS_2_DN	-0.01633	-0.5586	0.2008	-1.051	0.123
MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN	-0.01666	-0.5685	0.1637	-0.8076	0.03737
DELACROIX_RAR_BOUND_ES	-0.01676	-0.5466	0.2521	-0.9586	0.1753
MARTENS_TRETINOIN_RESPONSE_DN	-0.01688	-0.5749	0.1424	-0.8869	5.936e-05
KIM_ALL_DISORDERS_DURATION_CORR_DN	-0.01704	-0.5572	0.2065	-0.6337	6.296e-05
PEREZ_TP53_TARGETS	-0.01706	-0.6088	0.06035	-1.52	0.288
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	-0.01708	-0.5692	0.1612	-1.211	0.3845
WONG_EMBRYONIC_STEM_CELL_CORE	-0.01741	-0.5904	0.09841	-1.439	0.003696
OSMAN_BLADDER_CANCER_DN	-0.01776	-0.5756	0.1401	-1.066	0.3807
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	-0.01809	-0.5473	0.2489	-0.8649	0.00571
VECCHI_GASTRIC_CANCER_EARLY_UP	-0.01858	-0.565	0.1764	-0.7584	0.03339
REACTOME_SIGNALING_BY_WNT	-0.01891	-0.56	0.1952	-0.9813	0.0002134
ONKEN_UVEAL_MELANOMA_DN	-0.01897	-0.5501	0.2363	-0.8934	0.4701
SENESE_HDAC3_TARGETS_DN	-0.01983	-0.5085	0.45	-0.3352	0.0006357
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	-0.01995	-0.6052	0.0666	-1.535	0.2885
DANG_REGULATED_BY_MYC_DN	-0.02024	-0.577	0.1357	-1.16	0.06266
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10	-0.02089	-0.5968	0.08363	-1.184	0.04527
HSIAO_HOUSEKEEPING_GENES	-0.02144	0.5169	0.4067	-0.003785	0.002775
SENESE_HDAC1_TARGETS_UP	-0.022	-0.5904	0.09841	-1.402	0.3002
CUI_TCF21_TARGETS_2_UP	-0.02219	-0.5833	0.117	-1.027	0.06794
RAO_BOUND_BY_SALL4_ISOFORM_B	-0.0223	-0.5763	0.1379	-1.121	0.03219
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	-0.02309	-0.6116	0.05569	-1.779	0.4072
RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_DN	-0.02338	-0.56	0.1952	-0.8041	0.0008739
REACTOME_M_PHASE	-0.02352	-0.6342	0.02785	-1.977	0.1129
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	-0.02379	-0.6038	0.06923	-1.216	0.1275
PEDRIOLI_MIR31_TARGETS_DN	-0.02389	-0.5544	0.2182	-0.9121	0.006
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	-0.02411	-0.5537	0.2211	-0.7816	0.2073
WP_MRNA_PROCESSING	-0.02427	-0.6081	0.06156	-1.442	0.4846
AMUNDSON_RESPONSE_TO_ARSENITE	-0.02448	-0.5494	0.2394	-0.736	0.3636
MITSIADES_RESPONSE_TO_APLIDIN_UP	-0.02451	-0.5141	0.4184	-0.6249	0.0009126
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP	-0.02463	-0.5198	0.3873	-0.1306	0.01839
SHEN_SMARCA2_TARGETS_UP	-0.02578	-0.6038	0.06923	-1.292	0.3565
PUJANA_CHEK2_PCC_NETWORK	-0.02584	-0.613	0.05347	-1.448	0.3052
BIDUS_METASTASIS_UP	-0.026	-0.6045	0.0679	-1.492	0.3421
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	-0.02804	-0.6137	0.05239	-1.444	0.4597
FISCHER_DREAM_TARGETS	-0.02881	-0.5749	0.1424	-0.9414	0.0005306
GRYDER_PAX3FOXO1_TOP_ENHANCERS	-0.02952	-0.6483	0.01724	-2.167	0.3954
SWEET_LUNG_CANCER_KRAS_DN	-0.0318	-0.6243	0.03813	-1.795	0.366
LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN	-0.03305	-0.6165	0.04822	-1.815	0.01246
RIZKI_TUMOR_INVASIVENESS_3D_DN	-0.0333	-0.6278	0.03415	-2.093	0.2685
SMID_BREAST_CANCER_BASAL_UP	-0.03334	-0.5664	0.1713	-1.044	0.2503
REACTOME_DEVELOPMENTAL_BIOLOGY	-0.03364	-0.5395	0.2852	-0.7667	0.0361
CHICAS_RB1_TARGETS_SENESCENT	-0.03391	-0.5897	0.1002	-1.072	0.06325
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	-0.03423	-0.5713	0.154	-0.624	0.0003417
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING	-0.03428	-0.5459	0.2553	-0.5715	0.2903
CAIRO_HEPATOBLASTOMA_CLASSES_UP	-0.03446	-0.6137	0.05239	-1.609	0.005598
PARENT_MTOR_SIGNALING_UP	-0.03496	-0.6116	0.05569	-1.437	0.01548
FOURNIER_ACINAR_DEVELOPMENT_LATE_2	-0.03548	-0.6314	0.03052	-1.299	0.4523
SANSOM_APC_TARGETS_REQUIRE_MYC	-0.03637	-0.6462	0.01857	-1.919	0.2914
DODD_NASOPHARYNGEAL_CARCINOMA_DN	-0.0364	-0.6031	0.07058	-1.352	0.01483
DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP	-0.03649	-0.637	0.02537	-2.033	0.482
REACTOME_RHO_GTPASE_EFFECTORS	-0.03877	-0.6554	0.01339	-2.298	0.1438
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	-0.0394	-0.6335	0.02849	-1.997	7.232e-05
DELACROIX_RARG_BOUND_MEF	-0.03944	-0.5501	0.2363	-1.042	0.001145
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	-0.0399	-0.5184	0.3951	-0.5336	0.3455
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	-0.04008	-0.5254	0.357	-0.5316	0.005297
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	-0.04161	-0.5982	0.08058	-1.129	0.07479
BROWNE_HCMV_INFECTION_20HR_UP	-0.04203	-0.5558	0.2123	-0.9243	0.1126
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	-0.04459	-0.613	0.05347	-1.404	2.219e-08
KAUFFMANN_DNA_REPAIR_GENES	-0.04476	-0.6617	0.01058	-2.466	3.766e-06
JOHNSTONE_PARVB_TARGETS_3_DN	-0.04607	-0.6391	0.02364	-2.201	0.02121
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	-0.04655	-0.6483	0.01724	-2.201	0.04373
REACTOME_CELL_CYCLE_MITOTIC	-0.04753	-0.685	0.004187	-2.767	0.08039
BASAKI_YBX1_TARGETS_UP	-0.04824	-0.6716	0.007227	-2.518	0.2622
BENPORATH_MYC_TARGETS_WITH_EBOX	-0.04857	-0.6801	0.005139	-2.921	0.0001113
PUJANA_BRCA1_PCC_NETWORK	-0.04864	-0.6045	0.0679	-1.342	0.01035
WEI_MYCN_TARGETS_WITH_E_BOX	-0.04891	-0.5537	0.2211	-0.5504	0.01848
REACTOME_METABOLISM_OF_RNA	-0.05075	-0.6342	0.02785	-1.911	0.465
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	-0.05358	-0.6412	0.02201	-2.221	0.01833
BLALOCK_ALZHEIMERS_DISEASE_DN	-0.05425	-0.6469	0.01812	-1.743	8.178e-05
KEGG_SPLICEOSOME	-0.05486	-0.7027	0.00194	-3.003	0.2577
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	-0.05579	-0.6709	0.007431	-2.335	0.01077
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	-0.05788	-0.6773	0.005766	-2.452	0.4237
RIZKI_TUMOR_INVASIVENESS_3D_UP	-0.05885	-0.6349	0.02721	-2.059	0.4726
TIEN_INTESTINE_PROBIOTICS_24HR_UP	-0.06051	-0.6907	0.003294	-2.99	0.01531
LEE_BMP2_TARGETS_DN	-0.06663	-0.6999	0.002203	-2.917	0.05869
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	-0.06677	-0.649	0.01682	-2.071	0.3622
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	-0.06875	-0.6716	0.007227	-2.819	8.296e-05
MIKKELSEN_NPC_ICP_WITH_H3K4ME3	-0.06931	-0.7133	0.001189	-3.225	0.02072
REACTOME_CELL_CYCLE	-0.07077	-0.7232	0.0007389	-3.324	0.004529
PILON_KLF1_TARGETS_UP	-0.07377	-0.661	0.01086	-3.111	0.3091
HAHTOLA_MYCOSIS_FUNGOIDES_SKIN_UP	-0.07411	-0.7097	0.001403	-3.131	2.236e-05
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP	-0.07507	-0.7055	0.001706	-2.849	0.01241
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR	-0.07518	-0.7048	0.001762	-3.199	0.06787
GOLDRATH_ANTIGEN_RESPONSE	-0.07547	-0.7366	0.000376	-3.608	0.0002877
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	-0.07649	-0.6151	0.05027	-1.148	0.4456
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	-0.07655	-0.7112	0.001314	-3.321	0.05112
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	-0.07702	-0.7295	0.0005388	-3.511	0.05878
COLINA_TARGETS_OF_4EBP1_AND_4EBP2	-0.07789	-0.7062	0.001652	-3.109	1.911e-05
MIKKELSEN_ES_ICP_WITH_H3K4ME3	-0.07836	-0.7451	0.0002412	-3.525	0.08061
PUJANA_BRCA2_PCC_NETWORK	-0.07857	-0.7048	0.001762	-2.697	0.005288
HAN_SATB1_TARGETS_DN	-0.07918	-0.7239	0.0007137	-3.351	0.0002557
BRUINS_UVC_RESPONSE_LATE	-0.0796	-0.7112	0.001314	-3.531	0.223
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	-0.08138	-0.6766	0.005933	-2.097	0.002853
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP	-0.08719	-0.7302	0.00052	-3.655	0.3625
WP_VEGFAVEGFR2_SIGNALING_PATHWAY	-0.09108	-0.6511	0.0156	-2.049	0.02978
REACTOME_NEDDYLATION	-0.09244	-0.779	3.556e-05	-4.331	0.4269
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	-0.095	-0.7232	0.0007389	-3.556	0.1989
HAHTOLA_SEZARY_SYNDROM_UP	-0.09515	-0.7479	0.0002073	-4.278	0.4595
WP_CILIARY_LANDSCAPE	-0.09804	-0.7147	0.001112	-3.084	0.02079
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	-0.09822	-0.7041	0.00182	-2.995	0.01039
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_1	-0.09916	-0.7493	0.0001921	-3.925	0.4444
REACTOME_MRNA_SPLICING	-0.09951	-0.7479	0.0002073	-3.775	0.07214
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	-0.1005	-0.7154	0.001076	-3.197	0.0008575
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4	-0.1047	-0.7634	8.787e-05	-4.22	0.4785
REACTOME_HEMOSTASIS	-0.1066	-0.5445	0.2618	-1.525	0.04268
BASSO_B_LYMPHOCYTE_NETWORK	-0.1101	-0.7097	0.001403	-2.697	0.003007
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	-0.1108	-0.7571	0.0001255	-3.819	0.2479
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	-0.1118	-0.7797	3.409e-05	-4.369	0.1219
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	-0.1156	-0.7528	0.0001586	-4.01	0.0569
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	-0.1162	-0.7719	5.396e-05	-4.218	0.2024
FEVR_CTNNB1_TARGETS_DN	-0.1176	-0.7105	0.001358	-3.089	0.1164
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	-0.1207	-0.7408	0.0003017	-3.598	0.2512
REACTOME_DNA_REPAIR	-0.1237	-0.7655	7.789e-05	-4.168	0.1582
WANG_SMARCE1_TARGETS_DN	-0.1269	-0.7726	5.178e-05	-3.975	0.2427
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13	-0.1291	-0.7387	0.0003369	-3.836	0.0003658
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	-0.134	-0.7895	1.868e-05	-4.719	0.2268
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	-0.134	-0.7917	1.638e-05	-5.566	0.485
LOPEZ_MBD_TARGETS	-0.1371	-0.7606	0.0001031	-4.081	0.003882
REACTOME_HIV_INFECTION	-0.1373	-0.7592	0.0001116	-4.158	0.4219
FUJII_YBX1_TARGETS_DN	-0.1386	-0.7853	2.423e-05	-4.742	0.01706
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN	-0.1419	-0.7394	0.0003248	-2.992	0.008796
REACTOME_SIGNALING_BY_INTERLEUKINS	-0.1452	-0.7917	1.638e-05	-4.586	0.002963
CHANDRAN_METASTASIS_UP	-0.1602	-0.7994	1.005e-05	-5.373	0.05091
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	-0.1641	-0.779	3.556e-05	-5.162	0.008293
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	-0.1696	-0.8178	3.02e-06	-5.664	0.004834
ZHANG_BREAST_CANCER_PROGENITORS_UP	-0.1861	-0.8242	1.962e-06	-5.613	0.0004668
ACEVEDO_LIVER_CANCER_UP	-0.1889	-0.7952	1.314e-05	-4.654	0.001666
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	-0.196	-0.8263	1.696e-06	-5.225	0.2686
BERENJENO_TRANSFORMED_BY_RHOA_UP	-0.2123	-0.834	9.875e-07	-6.415	0.3183
